timepoint,treatment,mice_ID,well,weeks_of_growing,FlowJo_ID,cKit_neg,eosinofils,low6c_mono,monocytes_1,FcR_hi,FcR_low,FcR_neg,neutrophils,non_mielo,CD16_32hi_CD71low,CD16_32hi_CD71neg,CD16_32low_CD71low,CD16_32low_CD71neg,CD16_32neg_CD71hi,CD16_32neg_CD71neg,CD16_32neg_CD71pos,CD16_32pos_CD71hi,non_mielo_wide,Q1_CD150neg_CD105pos,CD71high_Ter119neg,CD71pos_Ter119low,CD71pos_Ter119neg,Q2_CD150pos_CD105pos,Q3_CD150pos_CD105neg,Q4_CD150neg_CD105neg,Ter119pos_CD16_32neg,cKit_pos,CD150pos_CD16_32neg,GMP_1,GMP_2,non_GMP,CMP_1,trombo,FSC_A_medium_SSC_A_high,FSC_low.SSC_low,FSChigh_SSChigh,FSClow_SSC_high,SSC_low_FSC_high,Live_dead_Ly6C_subsetfreq_parent,cKit_negfreq_parent,eosinofilsfreq_parent,low6c_monofreq_parent,monocytes_1freq_parent,FcR_hifreq_parent,FcR_lowfreq_parent,FcR_negfreq_parent,neutrophilsfreq_parent,non_mielofreq_parent,CD16_32hi_CD71lowfreq_parent,CD16_32hi_CD71negfreq_parent,CD16_32low_CD71lowfreq_parent,CD16_32low_CD71negfreq_parent,CD16_32neg_CD71hifreq_parent,CD16_32neg_CD71negfreq_parent,CD16_32neg_CD71posfreq_parent,CD16_32pos_CD71hifreq_parent,non_mielo_widefreq_parent,Q1_CD150neg_CD105posfreq_parent,CD71high_Ter119negfreq_parent,CD71pos_Ter119lowfreq_parent,CD71pos_Ter119negfreq_parent,Q2_CD150pos_CD105posfreq_parent,Q3_CD150pos_CD105negfreq_parent,Q4_CD150neg_CD105posfreq_parent,Ter119pos_CD16_32negfreq_parent,cKit_posfreq_parent,CD150pos_CD16_32negfreq_parent,GMP_1freq_parent,GMP_2freq_parent,non_GMPfreq_parent,CMP_1freq_parent,trombofreq_parent,FSC_A_medium_SSC_A_highfreq_parent,FSC_low.SSC_lowfreq_parent,FSChigh_SSChighfreq_parent,FSClow_SSC_highfreq_parent,SSC_low_FSC_highfreq_parent
1,NaCl,97,B6,3,261072.fcs,0.993000,0.042800,0.150000,0.604000,0.152000,0.417000,0.034200,0.116000,0.079600,0.027500,0.028100,0.003300,0.008300,0.001700,0.006100,0.003100,0.000280,0.226000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085700,0.141000,0.001400,0.003600,0.000000,0.002500,0.000560,0.000560,0.000560,0.000000,0.049200,0.537000,0.161000,0.065400,0.190000,0.985000,0.993000,0.043100,0.151000,0.608000,0.251000,0.690000,0.056700,0.117000,0.080100,0.346000,0.353000,0.042000,0.105000,0.021000,0.076900,0.038500,0.003500,0.228000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379000,0.621000,0.006200,0.003600,0.000000,0.692000,0.154000,0.154000,1.000000,0.000000,0.049200,0.537000,0.161000,0.065400,0.190000
1,NaCl,97,C9,3,261074.fcs,0.983000,0.006300,0.198000,0.538000,0.198000,0.330000,0.008800,0.060200,0.185000,0.093900,0.008200,0.021600,0.002000,0.015300,0.001600,0.020600,0.020800,0.376000,0.001600,0.000000,0.000000,0.000390,0.003100,0.055300,0.316000,0.000980,0.010000,0.000000,0.005300,0.002500,0.000980,0.000980,,0.039400,0.349000,0.086000,0.075100,0.455000,0.908000,0.983000,0.006400,0.201000,0.547000,0.369000,0.613000,0.016400,0.061200,0.188000,0.508000,0.044600,0.117000,0.010600,0.082800,0.008500,0.111000,0.113000,0.383000,0.004200,0.000000,0.000000,0.250000,0.008300,0.147000,0.841000,0.002600,0.010000,0.000000,0.529000,0.255000,0.098000,1.000000,,0.039400,0.349000,0.086000,0.075100,0.455000
1,NaCl,97,D5,3,261076.fcs,0.997000,0.027300,0.179000,0.570000,0.065400,0.488000,0.016100,0.108000,0.116000,0.020700,0.015900,0.023500,0.006000,0.009700,0.003000,0.033500,0.002600,0.289000,0.000071,0.000000,0.000000,0.000071,0.000071,0.066200,0.223000,0.002700,0.002300,0.000000,0.001100,0.000850,0.000280,0.000280,0.000000,0.016500,0.691000,0.073000,0.035000,0.186000,0.966000,0.997000,0.027400,0.179000,0.572000,0.115000,0.856000,0.028300,0.108000,0.116000,0.179000,0.137000,0.202000,0.051400,0.083800,0.025700,0.289000,0.022000,0.290000,0.000250,0.000000,0.000000,1.000000,0.000250,0.229000,0.771000,0.009300,0.002300,0.000000,0.500000,0.375000,0.125000,1.000000,0.000000,0.016500,0.691000,0.073000,0.035000,0.186000
1,NaCl,97,D7,3,261078.fcs,0.993000,0.062200,0.382000,0.147000,0.038500,0.091600,0.016300,0.051900,0.355000,0.067900,0.051200,0.059800,0.052900,0.005300,0.037000,0.077100,0.001600,0.727000,0.000650,0.000000,0.000160,0.000160,0.000650,0.255000,0.471000,0.023900,0.003100,0.000000,0.001500,0.000320,0.000970,0.000970,0.000000,0.081000,0.321000,0.316000,0.139000,0.143000,0.893000,0.993000,0.062700,0.384000,0.148000,0.262000,0.624000,0.111000,0.052300,0.358000,0.191000,0.144000,0.168000,0.149000,0.015000,0.104000,0.217000,0.004500,0.733000,0.000890,0.000000,0.250000,0.250000,0.000890,0.350000,0.648000,0.032900,0.003100,0.000000,0.474000,0.105000,0.316000,1.000000,0.000000,0.081000,0.321000,0.316000,0.139000,0.143000
1,NaCl,97,D8,3,261080.fcs,0.665000,0.010100,0.353000,0.065200,0.018200,0.045900,0.000850,0.005200,0.237000,0.049000,0.034000,0.048200,0.006000,0.010200,0.007900,0.077400,0.000640,0.585000,0.000690,0.000000,0.000053,0.000430,0.000270,0.140000,0.443000,0.036700,0.331000,0.000000,0.240000,0.088800,0.002800,0.002800,0.000000,0.027700,0.371000,0.133000,0.097500,0.374000,0.815000,0.665000,0.015100,0.530000,0.098000,0.279000,0.704000,0.013100,0.007800,0.356000,0.207000,0.143000,0.204000,0.025200,0.043000,0.033500,0.327000,0.002700,0.878000,0.001200,0.000000,0.076900,0.615000,0.000460,0.240000,0.758000,0.062700,0.331000,0.000000,0.724000,0.268000,0.008500,1.000000,0.000000,0.027700,0.371000,0.133000,0.097500,0.374000
1,NaCl,97,E3,3,261082.fcs,0.986000,0.007000,0.167000,0.552000,0.159000,0.389000,0.004600,0.062600,0.198000,0.127000,0.025900,0.017000,0.001400,0.002500,0.002700,0.016900,0.003000,0.363000,0.001600,0.000000,0.000110,0.000880,0.001300,0.053300,0.307000,0.001300,0.008800,0.000000,0.005500,0.001400,0.001200,0.001200,0.000000,0.034400,0.494000,0.059100,0.065100,0.350000,0.818000,0.986000,0.007100,0.169000,0.560000,0.287000,0.704000,0.008300,0.063500,0.201000,0.640000,0.131000,0.085700,0.007200,0.012700,0.013800,0.085200,0.014900,0.368000,0.004500,0.000000,0.066700,0.533000,0.003600,0.147000,0.845000,0.003600,0.008800,0.000000,0.625000,0.162000,0.138000,1.000000,0.000000,0.034400,0.494000,0.059100,0.065100,0.350000
1,NaCl,97,E5,3,261084.fcs,0.998000,0.012100,0.250000,0.472000,0.159000,0.309000,0.004200,0.041800,0.225000,0.072400,0.027200,0.043800,0.007900,0.002400,0.007100,0.060300,0.001700,0.470000,0.000300,0.000000,0.000000,0.000250,0.000150,0.118000,0.351000,0.003200,0.001100,0.000000,0.000640,0.000099,0.000250,0.000250,0.000000,0.024700,0.506000,0.083700,0.092400,0.296000,0.965000,0.998000,0.012200,0.251000,0.473000,0.337000,0.654000,0.008800,0.041900,0.225000,0.322000,0.121000,0.195000,0.035300,0.010600,0.031500,0.269000,0.007500,0.471000,0.000630,0.000000,0.000000,0.833000,0.000320,0.252000,0.747000,0.006700,0.001100,0.000000,0.591000,0.090900,0.227000,1.000000,0.000000,0.024700,0.506000,0.083700,0.092400,0.296000
1,NaCl,97,E10,3,261086.fcs,0.828000,0.012000,0.198000,0.213000,0.023500,0.174000,0.014400,0.014600,0.391000,0.072200,0.037200,0.101000,0.017900,0.003700,0.015600,0.142000,0.000000,0.586000,0.002100,0.000000,0.000000,0.001700,0.001400,0.136000,0.446000,0.047900,0.168000,0.000000,0.111000,0.055200,0.001700,0.001700,0.000000,0.024400,0.359000,0.101000,0.062500,0.454000,0.824000,0.828000,0.014500,0.239000,0.258000,0.110000,0.818000,0.067300,0.017600,0.473000,0.184000,0.095100,0.258000,0.045700,0.009500,0.039900,0.362000,0.000000,0.708000,0.003700,0.000000,0.000000,0.773000,0.002300,0.232000,0.762000,0.081700,0.168000,0.000000,0.660000,0.328000,0.009900,1.000000,0.000000,0.024400,0.359000,0.101000,0.062500,0.454000
1,NaCl,97,F7,3,261088.fcs,0.495000,0.004800,0.215000,0.146000,0.045300,0.098800,0.001400,0.024900,0.108000,0.047000,0.013100,0.029000,0.002400,0.000660,0.003500,0.011500,0.000440,0.320000,0.000660,0.000000,0.000000,0.000660,0.001100,0.082800,0.235000,0.002700,0.502000,0.000110,0.437000,0.058000,0.007600,0.007600,0.000000,0.004300,0.370000,0.053100,0.020000,0.553000,0.887000,0.495000,0.009700,0.435000,0.294000,0.311000,0.678000,0.009800,0.050200,0.218000,0.435000,0.122000,0.268000,0.022300,0.006100,0.032400,0.106000,0.004100,0.645000,0.002100,0.000000,0.000000,1.000000,0.003400,0.259000,0.736000,0.008600,0.502000,0.000220,0.871000,0.116000,0.015100,1.000000,0.000000,0.004300,0.370000,0.053100,0.020000,0.553000
1,NaCl,97,F9,3,261090.fcs,0.863000,0.011300,0.260000,0.223000,0.054700,0.165000,0.002900,0.029800,0.342000,0.103000,0.060700,0.060500,0.006200,0.000790,0.005800,0.102000,0.000160,0.597000,0.000320,0.000000,0.000079,0.000079,0.000160,0.153000,0.444000,0.011400,0.135000,0.000000,0.075100,0.057400,0.002300,0.002300,0.000000,0.016800,0.484000,0.123000,0.038500,0.340000,0.719000,0.863000,0.013200,0.301000,0.259000,0.245000,0.740000,0.012800,0.034500,0.396000,0.301000,0.178000,0.177000,0.018100,0.002300,0.017000,0.298000,0.000460,0.692000,0.000530,0.000000,0.250000,0.250000,0.000270,0.256000,0.743000,0.019100,0.135000,0.000000,0.556000,0.426000,0.017000,1.000000,0.000000,0.016800,0.484000,0.123000,0.038500,0.340000
